Token		Lexeme
keyword		function
identifier	abc
separator	(
identifier	n
keyword		int
separator	)
separator	{
keyword		if
separator	(
identifier	n
operator	!=
integer		3
separator	)
keyword		return
integer		0
keyword		fi
separator	}
keyword		function
identifier	xyz123
separator	(
identifier	b
keyword		bool
separator	)
separator	{
keyword		if
separator	(
identifier	b
operator	==
keyword		true
separator	)
keyword		return
keyword		false
keyword		else
keyword		return
keyword		true
keyword		fi
separator	}
keyword		function
identifier	underscores____
separator	(
identifier	r
keyword		real
separator	)
separator	{
identifier	r
operator	=
identifier	r
operator	+
integer		1
separator	;
identifier	r
operator	=
identifier	r
operator	-
integer		2
separator	;
identifier	r
operator	=
identifier	r
operator	*
integer		3
separator	;
identifier	r
operator	=
identifier	r
operator	/
integer		4
separator	;
keyword		put
separator	(
identifier	r
separator	)
separator	}
separator	#
keyword		int
identifier	input1
separator	,
keyword		bool
identifier	input2
separator	,
keyword		real
identifier	input3
separator	;
separator	#
keyword		get
separator	(
identifier	input1
separator	,
identifier	input2
separator	,
identifier	input3
separator	)
separator	;
keyword		while
separator	(
identifier	input2
operator	==
keyword		true
separator	)
separator	{
keyword		if
separator	(
identifier	input1
operator	<
integer		10
separator	)
identifier	underscores____
separator	(
identifier	input3
separator	)
separator	;
keyword		fi
keyword		if
separator	(
identifier	input3
operator	<
real		20.0
separator	)
identifier	abc
separator	(
identifier	input1
separator	)
separator	;
keyword		else
identifier	input2
operator	=
identifier	xyz
separator	(
identifier	input2
separator	)
separator	;
keyword		fi
separator	}
keyword		put
separator	(
identifier	input1
separator	)
separator	;
keyword		put
separator	(
identifier	input2
separator	)
separator	;
keyword		put
separator	(
identifier	input3
separator	)
separator	;
